矩阵规模*稀疏度,平凡算法时长,SSE时长,AVX平均时长,静态线程分配时长,动态线程分配时长,静态线程+sse时长,静态线程+avx时长
44981,1.03955,0.433423,0.258627,0.318961,0.0003011,0.164429,0.0902492
45269,1.07961,0.438599,0.26415,0.318002,0.0002954,0.160946,0.0945026
45320,1.03279,0.447718,0.273938,0.324817,0.0002767,0.169802,0.0909893
44887,1.04346,0.478864,0.287106,0.331006,0.000293,0.16751,0.109154
45409,1.05435,0.433829,0.270072,0.333579,0.0002831,0.16723,0.0838177
45311,1.00072,0.449204,0.254905,0.31027,0.0002784,0.171983,0.0937095
45218,1.00847,0.469441,0.269322,0.322017,0.0002959,0.179194,0.0957654
45404,1.08099,0.433342,0.268562,0.318352,0.0003519,0.177339,0.0994164
45144,1.08921,0.442824,0.287494,0.346714,0.0002482,0.161961,0.087402
45189,1.02955,0.480164,0.273297,0.306866,0.0002421,0.200647,0.0944245
45352,1.08367,0.46061,0.283066,0.308239,0.0003163,0.163305,0.0844848
45311,1.00943,0.461158,0.255598,0.316891,0.0002847,0.165552,0.0864816
45305,1.04738,0.430879,0.264745,0.328669,0.0002623,0.161343,0.0887105
45507,1.03882,0.434788,0.27129,0.328365,0.0002573,0.170389,0.0998095
45398,1.029,0.445103,0.261594,0.304891,0.0002805,0.170743,0.08686
45757,1.02491,0.439665,0.269236,0.317598,0.0003662,0.172897,0.0899142
45156,1.04332,0.434915,0.265383,0.324762,0.0003104,0.171321,0.0916965
45485,1.06835,0.437237,0.277806,0.312236,0.0003184,0.162059,0.0901642
45412,1.02744,0.453421,0.261016,0.30992,0.0002555,0.159642,0.0886575
45160,1.0975,0.435541,0.260205,0.31423,0.0002728,0.170901,0.0884407
45376,1.0528,0.438429,0.271369,0.325191,0.0003167,0.16862,0.0906422
45108,1.02592,0.434125,0.332641,0.338341,0.0003518,0.188624,0.105684
45261,1.16896,0.489642,0.26248,0.313805,0.0002814,0.170694,0.0850181
45167,1.00113,0.428379,0.263391,0.306261,0.0002569,0.175296,0.0878162
45267,0.999968,0.42912,0.2612,0.316516,0.0002797,0.172449,0.0918138
45313,1.0253,0.432074,0.266051,0.309798,0.0002543,0.170611,0.0842947
45368,1.00261,0.451804,0.262026,0.31286,0.0003289,0.17016,0.0909042
45591,1.05638,0.480571,0.266822,0.319647,0.0002977,0.170851,0.0925997
45340,1.01369,0.453587,0.26281,0.325768,0.0002613,0.171769,0.0868843
45146,1.01711,0.433277,0.257644,0.331923,0.0002619,0.166606,0.0888204
44947,1.19811,0.435258,0.257091,0.335159,0.000249,0.168689,0.0967434
80231,2.48415,1.09175,0.641515,0.761815,0.0003104,0.400748,0.20797
80517,2.52076,1.0313,0.603831,0.727755,0.0003662,0.398278,0.210793
80534,2.39883,1.03686,0.602177,0.741989,0.0002616,0.393986,0.20903
80026,2.37815,1.09915,0.624242,0.73832,0.0002712,0.401726,0.219194
80488,2.52104,1.18651,0.619939,0.788746,0.0002382,0.374953,0.202868
81002,2.42066,1.05276,0.605231,0.558951,0.0002666,0.336528,0.187358
80418,2.45724,0.98429,0.601796,0.584314,0.0003053,0.336661,0.180382
80415,2.32728,0.988776,0.572666,0.550137,0.0003059,0.313647,0.165888
80134,2.2909,0.968484,0.569048,0.56885,0.0003234,0.318296,0.17121
80809,2.38421,1.00592,0.586026,0.564382,0.0003593,0.315877,0.186019
80044,2.34512,0.971279,0.569963,0.572598,0.0002209,0.331346,0.16169
80894,2.34477,0.966842,0.580591,0.563876,0.0002724,0.310521,0.168436
80862,2.40127,0.973303,0.604104,0.646438,0.0002454,0.331577,0.185932
80468,2.23639,0.971589,0.577632,0.580362,0.0002754,0.333968,0.171427
80842,2.24867,0.97677,0.583937,0.589694,0.0002772,0.305283,0.172484
80520,2.2299,0.97631,0.571686,0.577434,0.0004468,0.322083,0.183123
80969,2.34521,0.974694,0.574183,0.562018,0.0002134,0.312034,0.179983
80912,2.3826,0.982027,0.584168,0.547974,0.0003363,0.322962,0.167676
80608,2.42166,0.983433,0.572441,0.567799,0.0002247,0.34118,0.183003
80453,2.24692,0.97824,0.575425,0.585853,0.0004276,0.38236,0.180646
80760,2.28996,0.981111,0.57631,0.591146,0.00035,0.324034,0.167923
80610,2.33537,0.994943,0.58216,0.575924,0.0003506,0.327823,0.171533
80450,2.48354,0.975786,0.580171,0.533299,0.0002573,0.322544,0.185987
80824,2.40612,0.983699,0.584702,0.593431,0.0003186,0.307466,0.18454
80122,2.43339,1.00169,0.586817,0.571972,0.0002677,0.333546,0.206079
80381,2.26547,0.974298,0.643978,0.578279,0.0003939,0.339485,0.194034
80442,2.27344,1.03939,0.722483,0.771035,0.0002483,0.383398,0.192868
80469,2.58371,1.12841,0.595593,0.720689,0.000295,0.38413,0.198611
80725,2.61887,1.10131,0.606444,0.704964,0.0002529,0.388063,0.222728
80304,2.3373,1.03634,0.605133,0.692823,0.0003293,0.356508,0.221875
80672,2.32151,0.998596,0.584782,0.584015,0.000336,0.334517,0.1761
80833,2.25645,0.978945,0.582956,0.569845,0.0002342,0.328477,0.18335
80229,2.52807,0.979214,0.57517,0.587734,0.0003364,0.324454,0.171225
80869,2.31127,0.998437,0.583127,0.57858,0.0003397,0.337718,0.173786
80681,2.41787,0.981468,0.579271,0.580958,0.0002459,0.315179,0.192489
80886,2.37405,0.990997,0.581244,0.57342,0.0003243,0.313226,0.174518
80455,2.27283,0.993029,0.582169,0.577587,0.0002483,0.320598,0.168911
80828,2.31253,0.99427,0.58689,0.541807,0.0003136,0.335425,0.170153
80764,2.36046,1.01967,0.647572,0.586959,0.0002437,0.319488,0.165141
80812,2.37159,0.990189,0.591924,0.537305,0.0002318,0.311258,0.168662
80708,2.38344,0.98208,0.612644,0.581136,0.000273,0.331796,0.208265
80470,2.50326,1.03622,0.590526,0.732923,0.0002803,0.396419,0.186926
80195,2.35205,0.981151,0.65634,0.571537,0.0002699,0.334339,0.177798
80598,2.39226,0.975684,0.599632,0.57725,0.0003669,0.322883,0.168674
80937,2.31654,0.986083,0.581543,0.585984,0.0003016,0.295998,0.176456
80740,2.37734,0.981255,0.575619,0.555947,0.0003636,0.320193,0.161213
80565,2.32066,0.97873,0.575611,0.563025,0.0004721,0.303414,0.160214
81076,2.45831,0.990971,0.58391,0.608657,0.0005182,0.33782,0.17355
80553,2.24084,0.988362,0.580146,0.577853,0.0002355,0.327461,0.18265
125928,4.43954,1.92189,1.12762,1.16667,0.0003559,0.618348,0.330365
126283,4.63296,1.9469,1.13091,1.17544,0.0002488,0.635388,0.338315
126481,4.80771,1.92578,1.12383,1.11735,0.0002742,0.609698,0.357908
126149,4.39576,1.91437,1.12393,1.13866,0.0004988,0.604329,0.341124
125375,4.4005,1.91307,1.11167,1.1259,0.0006371,0.615366,0.31576
125865,4.6153,1.9105,1.12667,1.08419,0.0003114,0.603485,0.320038
126175,4.6838,1.91701,1.12832,1.0851,0.0002515,0.628386,0.352421
126075,4.37855,1.91727,1.11399,1.18016,0.0002575,0.643873,0.36375
125933,4.60152,1.96368,1.11927,1.09231,0.0002591,0.62425,0.334909
126443,4.40321,1.92395,1.12676,1.093,0.000442,0.655852,0.360463
126454,4.40088,1.91735,1.12976,1.13522,0.0002903,0.598086,0.326315
125376,4.3535,1.90306,1.11668,1.16517,0.0002469,0.617536,0.346912
125900,4.38049,1.9149,1.11639,1.1141,0.0003321,0.629047,0.345519
126504,4.43813,1.91199,1.11927,1.1653,0.0005082,0.650817,0.343838
125987,4.39472,1.90734,1.11735,1.11928,0.0003201,0.610219,0.361209
125193,4.38907,1.89874,1.11293,1.12831,0.0002322,0.625193,0.316364
126484,4.48758,1.91235,1.12796,1.10082,0.0003626,0.621282,0.358406
